GEOID,Tract-Name,2019 Scores - 2010 Scores
023010700,107.0,-9.0
023010800,108.0,14.0
023010901,109.01,-34.0
023010902,109.02,-24.0
023011000,110.0,12.0
023011100,111.0,-11.0
023011200,112.0,-24.0
023011500,115.0,0.0
023011600,116.0,96.0
023940000,9400.0,46.0
025010101,101.01,0.0
025010102,101.02,-31.0
025010200,102.0,4.0
025010300,103.0,-20.0
025010400,104.0,10.0
025010500,105.0,36.0
025010600,106.0,33.0
025010700,107.0,25.0
025010800,108.0,36.0
025010900,109.0,31.0
025011000,110.0,-44.0
025011100,111.0,-7.0
025011201,112.01,10.0
025011202,112.02,26.0
025011300,113.0,-25.0
025011400,114.0,21.0
025011500,115.0,-48.0
025011600,116.0,-36.0
025011700,117.0,-1.0
025011801,118.01,30.0
025011802,118.02,11.0
025011803,118.03,-30.0
025011900,119.0,32.0
025012001,120.01,45.0
025012002,120.02,33.0
025012100,121.0,-30.0
025012200,122.0,-1.0
025012301,123.01,100.0
025012302,123.02,-71.0
025012400,124.0,0.0
025940000,9400.0,2.0
027000100,1.0,-30.0
027000200,2.0,-83.0
027000300,3.0,-24.0
027000400,4.0,34.0
027000500,5.0,-70.0
027000800,8.0,22.0
029000101,1.01,0.0
029000102,1.02,20.0
029000200,2.0,-24.0
029000300,3.0,-22.0
029000400,4.0,-5.0
029000503,5.03,-26.0
029000504,5.04,19.0
029000505,5.05,-35.0
029000506,5.06,26.0
029000507,5.07,-9.0
029000600,6.0,-15.0
029000700,7.0,47.0
029000800,8.0,39.0
029000902,9.02,-16.0
029000903,9.03,-28.0
029000904,9.04,-11.0
029000905,9.05,-6.0
029000906,9.06,-15.0
029000907,9.07,8.0
029000908,9.08,10.0
029000909,9.09,-3.0
029000910,9.1,-23.0
029001000,10.0,36.0
029001101,11.01,13.0
029001102,11.02,-24.0
029001103,11.03,18.0
029001201,12.01,12.0
029001202,12.02,21.0
029001300,13.0,2.0
029001400,14.0,6.0
029001500,15.0,21.0
029001600,16.0,0.0
029001700,17.0,17.0
029001801,18.01,-56.0
029001802,18.02,21.0
029001901,19.01,-1.0
029001902,19.02,-22.0
029002000,20.0,29.0
029002100,21.0,5.0
029002200,22.0,-38.0
029002301,23.01,14.0
029002302,23.02,24.0
029002400,24.0,-26.0
029002500,25.0,20.0
029002600,26.0,-2.0
029002700,27.0,-34.0
029002804,28.04,21.0
029002806,28.06,-72.0
029002807,28.07,-77.0
029002808,28.08,-12.0
029002811,28.11,50.0
029002812,28.12,-2.0
029002813,28.13,-12.0
029002814,28.14,-18.0
029002815,28.15,56.0
029002816,28.16,-19.0
029002817,28.17,1.0
029002818,28.18,8.0
029002819,28.19,-16.0
029002820,28.2,-22.0
029002821,28.21,-39.0
029002900,29.0,27.0
029003000,30.0,8.0
029003103,31.03,20.0
029003112,31.12,-8.0
029003113,31.13,2.0
029003114,31.14,-6.0
029003115,31.15,-14.0
029003121,31.21,4.0
029003122,31.22,-9.0
029003123,31.23,1.0
029003124,31.24,32.0
029003202,32.02,20.0
029003203,32.03,-85.0
029003204,32.04,-14.0
029003205,32.05,-5.0
029003206,32.06,2.0
029003303,33.03,-26.0
029003304,33.04,-1.0
029003305,33.05,0.0
029003306,33.06,-18.0
029003400,34.0,-57.0
029003500,35.0,-62.0
029003600,36.0,-15.0
029003700,37.0,-30.0
029003803,38.03,8.0
029003804,38.04,17.0
029003805,38.05,-19.0
029003806,38.06,-10.0
029003807,38.07,-37.0
029003808,38.08,-61.0
029003809,38.09,-7.0
029003810,38.1,-52.0
029003811,38.11,-23.0
029003812,38.12,25.0
029003813,38.13,15.0
029003900,39.0,68.0
029004000,40.0,6.0
029004101,41.01,9.0
029004102,41.02,6.0
